date,cname,measure,count
2020-02-28,Iceland,Deaths,NA
2020-02-28,Norway,Cases,4
2020-02-28,Norway,Deaths,NA
2020-02-28,Sweden,Cases,7
2020-02-28,Sweden,Deaths,NA
2020-02-29,Denmark,Cases,2
2020-02-29,Denmark,Deaths,NA
2020-02-29,Finland,Cases,3
2020-02-29,Finland,Deaths,NA
2020-02-29,Iceland,Cases,1
2020-02-29,Iceland,Deaths,NA
2020-02-29,Norway,Cases,6
2020-02-29,Norway,Deaths,NA
2020-02-29,Sweden,Cases,12
2020-02-29,Sweden,Deaths,NA
2020-03-01,Denmark,Cases,3
2020-03-01,Denmark,Deaths,NA
2020-03-01,Finland,Cases,3
2020-03-01,Finland,Deaths,NA
2020-03-01,Iceland,Cases,1
2020-03-01,Iceland,Deaths,NA
2020-03-01,Norway,Cases,15
2020-03-01,Norway,Deaths,NA
2020-03-01,Sweden,Cases,13
2020-03-01,Sweden,Deaths,NA
2020-03-02,Denmark,Cases,4
2020-03-02,Denmark,Deaths,NA
2020-03-02,Finland,Cases,6
2020-03-02,Finland,Deaths,NA
2020-03-02,Iceland,Cases,3
2020-03-02,Iceland,Deaths,NA
2020-03-02,Norway,Cases,19
2020-03-02,Norway,Deaths,NA
2020-03-02,Sweden,Cases,14
2020-03-02,Sweden,Deaths,NA
2020-03-03,Denmark,Cases,5
2020-03-03,Denmark,Deaths,NA
2020-03-03,Iceland,Cases,6
2020-03-03,Iceland,Deaths,NA
2020-03-03,Norway,Cases,25
2020-03-03,Norway,Deaths,NA
2020-03-03,Sweden,Cases,15
2020-03-03,Sweden,Deaths,NA
2020-03-04,Denmark,Cases,8
2020-03-04,Denmark,Deaths,NA
2020-03-04,Finland,Cases,7
2020-03-04,Finland,Deaths,NA
2020-03-04,Iceland,Cases,16
2020-03-04,Iceland,Deaths,NA
2020-03-04,Norway,Cases,33
2020-03-04,Norway,Deaths,NA
2020-03-04,Sweden,Cases,24
2020-03-04,Sweden,Deaths,NA
2020-03-05,Denmark,Cases,10
2020-03-05,Denmark,Deaths,NA
2020-03-05,Iceland,Cases,26
2020-03-05,Iceland,Deaths,NA
2020-03-05,Norway,Cases,56
2020-03-05,Norway,Deaths,NA
2020-03-05,Sweden,Cases,35
2020-03-05,Sweden,Deaths,NA
2020-03-06,Denmark,Cases,20
2020-03-06,Denmark,Deaths,NA
2020-03-06,Finland,Cases,12
2020-03-06,Finland,Deaths,NA
2020-03-06,Iceland,Cases,35
2020-03-06,Iceland,Deaths,NA
2020-03-06,Norway,Cases,86
2020-03-06,Norway,Deaths,NA
2020-03-06,Sweden,Cases,61
2020-03-06,Sweden,Deaths,NA
2020-03-07,Denmark,Cases,23
2020-03-07,Denmark,Deaths,NA
2020-03-07,Finland,Cases,19
2020-03-07,Finland,Deaths,NA
2020-03-07,Iceland,Cases,43
2020-03-07,Iceland,Deaths,NA
2020-03-07,Norway,Cases,113
2020-03-07,Norway,Deaths,NA
2020-03-07,Sweden,Cases,137
2020-03-07,Sweden,Deaths,NA
2020-03-08,Denmark,Cases,31
2020-03-08,Denmark,Deaths,NA
2020-03-08,Iceland,Cases,53
2020-03-08,Iceland,Deaths,NA
2020-03-08,Norway,Cases,147
2020-03-08,Norway,Deaths,NA
2020-03-08,Sweden,Cases,161
2020-03-08,Sweden,Deaths,NA
2020-03-09,Denmark,Cases,38
2020-03-09,Denmark,Deaths,NA
2020-03-09,Finland,Cases,30
2020-03-09,Finland,Deaths,NA
2020-03-09,Iceland,Cases,55
