records.dateRep,records.day,records.month,records.year,records.cases,records.deaths,records.countriesAndTerritories,records.geoId,records.countryterritoryCode,records.popData2018,date,iso2,iso3,cname
01/02/2020,1,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-01,DZ,DZA,Algeria
31/01/2020,31,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-31,DZ,DZA,Algeria
30/01/2020,30,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-30,DZ,DZA,Algeria
29/01/2020,29,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-29,DZ,DZA,Algeria
28/01/2020,28,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-28,DZ,DZA,Algeria
27/01/2020,27,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-27,DZ,DZA,Algeria
26/01/2020,26,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-26,DZ,DZA,Algeria
25/01/2020,25,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-25,DZ,DZA,Algeria
24/01/2020,24,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-24,DZ,DZA,Algeria
23/01/2020,23,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-23,DZ,DZA,Algeria
22/01/2020,22,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-22,DZ,DZA,Algeria
21/01/2020,21,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-21,DZ,DZA,Algeria
20/01/2020,20,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-20,DZ,DZA,Algeria
19/01/2020,19,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-19,DZ,DZA,Algeria
18/01/2020,18,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-18,DZ,DZA,Algeria
17/01/2020,17,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-17,DZ,DZA,Algeria
16/01/2020,16,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-16,DZ,DZA,Algeria
15/01/2020,15,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-15,DZ,DZA,Algeria
14/01/2020,14,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-14,DZ,DZA,Algeria
13/01/2020,13,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-13,DZ,DZA,Algeria
12/01/2020,12,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-12,DZ,DZA,Algeria
11/01/2020,11,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-11,DZ,DZA,Algeria
10/01/2020,10,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-10,DZ,DZA,Algeria
